Displacement - Plot 0	Force - Plot 0	
49,9999	-0,0973979	
49,9999	-0,146097	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0730485	
49,9999	-0,0730485	
49,9999	-0,0730485	
49,9999	-0,048699	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0730485	
49,9999	-0,0730485	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
49,9999	-0,0973979	
50,0803	-0,048699	
50,1738	0,0243495	
50,3002	-0,0243495	
50,3839	0,0243495	
50,4714	0,048699	
50,6139	0,0243495	
50,7096	0,048699	
50,8039	0	
50,8976	0,0730485	
51,0242	0,0730485	
51,1194	0,121747	
51,2625	0,94963	
51,3901	1,70446	
51,5322	2,3132	
51,6595	2,4593	
51,7855	2,87324	
51,9117	3,14108	
52,0392	3,50633	
52,1492	3,77417	
52,2752	3,99332	
52,4031	4,18811	
52,5464	4,38291	
52,6891	4,529	
52,815	4,65075	
52,9429	4,8699	
53,0847	4,89425	
53,1948	5,04034	
53,3385	5,18644	
53,4318	5,25949	
53,5766	5,33254	
53,6866	5,42994	
53,8139	5,47863	
53,9079	5,57603	
54,0028	5,64908	
54,1281	5,67343	
54,2075	5,74648	
54,318	5,81953	
54,4601	5,84388	
54,5564	5,94127	
54,6663	5,96562	
54,76	6,01432	
54,876	6,03867	
54,9658	6,11172	
55,0611	6,13607	
55,1543	6,16042	
55,2496	6,20912	
55,4243	6,23347	
55,5089	6,28217	
55,6091	6,28217	
55,7198	6,35522	
55,8152	6,37957	
55,8939	6,40391	
56,0198	6,45261	
56,1139	6,47696	
56,2097	6,47696	
56,3043	6,52566	
56,3985	6,50131	
56,4677	6,52566	
56,5352	6,64741	
56,6782	6,59871	
56,772	6,59871	
56,8671	6,62306	
56,9622	6,64741	
57,0575	6,64741	
57,1663	6,67176	
57,2637	6,67176	
57,356	6,72046	
57,4502	6,67176	
57,5283	6,69611	
57,639	6,72046	
57,7351	6,72046	
57,8288	6,79351	
57,9245	6,74481	
58,0189	6,81786	
58,161	6,81786	
58,2541	7,1344	
58,3986	6,91525	
58,4932	7,2318	
58,634	6,96395	
58,7289	7,037	
58,8092	7,1344	
58,9023	7,1344	
58,9968	7,06135	
59,0914	7,037	
59,203	7,0857	
59,297	7,06135	
59,3922	7,06135	
59,4691	7,0857	
59,564	7,11005	
59,6584	7,15875	
59,753	7,20745	
59,8369	7,20745	
59,9086	7,20745	
59,9988	7,20745	
59,9999	7,20745	
59,9999	7,06135	
59,9999	7,1344	
59,9999	7,1831	
59,9999	7,1831	
59,9999	7,1344	
59,9999	7,1344	
59,9999	7,1344	
59,9999	7,1344	
59,9999	7,1831	
59,9999	7,1831	
59,9999	7,15875	
59,9999	7,1344	
59,9999	7,01265	
59,9999	7,01265	
59,9999	7,037	
59,9999	7,11005	
59,9999	6,86655	
