Displacement - Plot 0	Force - Plot 0	
50	-0,170446	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,170446	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,194796	
50	-0,170446	
50,0598	-0,194796	
50,1543	-0,121747	
50,2795	-0,121747	
50,3906	-0,146097	
50,5017	-0,121747	
50,5955	-0,146097	
50,707	-0,048699	
50,8342	-0,0730485	
50,9113	0	
51,0386	0,194796	
51,165	0,194796	
51,2591	0,754834	
51,3859	1,41227	
51,5123	2,02101	
51,6558	2,58105	
51,7826	3,09238	
51,9251	3,48198	
52,0681	3,79852	
52,184	4,11506	
52,3059	4,23681	
52,4323	4,40726	
52,5586	4,55335	
52,6375	4,6751	
52,7655	4,69945	
52,8593	4,89425	
52,9861	4,9186	
53,08	5,13774	
53,2217	5,18644	
53,3179	5,30819	
53,4608	5,35689	
53,5544	5,40559	
53,6825	5,55168	
53,7759	5,60038	
53,9027	5,64908	
53,998	5,67343	
54,0929	5,72213	
54,2019	5,69778	
54,3127	5,72213	
54,4087	5,79518	
54,5026	5,86823	
54,6284	5,94127	
54,725	5,96562	
54,8189	5,94127	
54,9123	5,98997	
55,0073	6,03867	
55,1338	6,16042	
55,2278	6,18477	
55,3233	6,16042	
55,4345	6,23347	
55,5774	6,30652	
55,6709	6,33087	
55,7655	6,33087	
55,8767	6,33087	
55,9894	6,35522	
56,0649	6,40391	
56,1916	6,40391	
56,2867	6,50131	
56,3645	6,47696	
56,4608	6,52566	
56,5391	6,52566	
56,6477	6,55001	
56,7431	6,62306	
56,8684	6,55001	
56,9493	6,62306	
57,0432	6,69611	
57,1526	6,62306	
57,2367	6,69611	
57,3231	6,72046	
57,4023	6,72046	
57,4977	6,84221	
57,6564	6,72046	
57,7523	6,74481	
57,8284	6,84221	
57,9243	6,79351	
58,0187	6,79351	
58,1031	6,84221	
58,1908	6,9396	
58,2854	6,9883	
58,3783	6,86655	
58,489	6,86655	
58,5841	6,8909	
58,6798	6,9883	
58,7571	6,9396	
58,8524	6,96395	
58,9457	6,9883	
59,0409	6,9883	
59,1348	7,037	
59,2774	7,037	
59,372	7,037	
59,4664	7,11005	
59,5772	7,0857	
59,6717	7,0857	
59,7667	7,15875	
59,8613	7,1344	
59,94	7,15875	
59,9989	7,1344	
59,9999	7,1344	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,0857	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,0857	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,11005	
59,9999	7,0857	
59,9999	7,0857	
59,9202	7,06135	
59,8258	6,40391	
59,7316	6,37957	
59,6373	6,35522	
59,5414	6,33087	
59,4477	6,35522	
59,3534	6,33087	
59,2748	6,25782	
59,1788	6,25782	
59,0848	6,30652	
58,9902	6,25782	
58,9127	6,20912	
58,8174	6,28217	
58,7401	6,25782	
58,6442	6,23347	
58,5485	6,23347	
58,4565	6,20912	
58,3609	6,23347	
58,2829	6,20912	
58,1883	6,18477	
58,0949	6,06302	
58,0002	6,13607	
57,9213	6,13607	
57,8367	6,16042	
57,7501	6,16042	
57,6695	6,13607	
57,5941	6,08737	
57,4964	6,08737	
57,4195	6,06302	
57,3254	6,01432	
57,232	5,91693	
57,1364	5,96562	
57,0411	5,84388	
56,9468	5,96562	
56,851	5,96562	
56,7557	5,84388	
56,6628	5,89258	
56,5681	5,86823	
56,4739	5,84388	
56,3805	5,79518	
56,2853	5,77083	
56,1923	5,77083	
56,0961	5,72213	
56,0032	5,69778	
55,9078	5,67343	
55,8132	5,67343	
55,7333	5,64908	
55,6404	5,64908	
55,5428	5,57603	
55,4493	5,57603	
55,372	5,94127	
55,2779	5,47863	
55,1841	5,45428	
55,0895	5,47863	
55,0056	5,38124	
54,9323	5,35689	
54,8367	5,30819	
54,7433	5,38124	
54,6485	5,35689	
54,5542	5,33254	
54,4584	5,23514	
54,3654	5,16209	
54,2867	5,13774	
54,1904	5,42994	
54,1134	5,11339	
54,0191	5,11339	
53,9244	5,08904	
53,8294	4,99164	
53,7345	4,9186	
53,6412	4,84555	
53,545	4,7725	
53,4516	4,69945	
53,3578	4,74815	
53,2615	4,60205	
53,1675	4,529	
53,0725	4,43161	
52,9781	4,35856	
52,8681	4,23681	
52,7581	4,13941	
52,6622	4,01767	
52,5665	3,96897	
52,4732	3,79852	
52,3793	3,67677	
52,3015	3,53068	
52,2063	3,38458	
52,0965	3,23848	
52,0007	2,94629	
51,9075	2,77584	
51,8117	2,53235	
51,7173	2,2158	
51,622	1,82621	
51,5281	1,46097	
51,418	0,998329	
51,3231	0,46264	
51,2392	-0,0730485	
51,1358	-0,170446	
51,0424	-0,170446	
50,9467	-0,194796	
50,8537	-0,194796	
50,742	-0,170446	
50,6472	-0,194796	
50,5374	-0,194796	
50,443	-0,194796	
50,3483	-0,194796	
50,2521	-0,194796	
50,1573	-0,194796	
50,065	-0,219145	
49,9996	-0,219145	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,194796	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,170446	
49,9999	-0,146097	
49,9999	-0,170446	
49,9999	-0,146097	
49,9999	-0,170446	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
49,9999	-0,146097	
