Displacement - Plot 0	Force - Plot 0	
48,5	-0,219145	
48,5	-0,0973979	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,219145	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,535689	
48,5	-0,852232	
48,5	-0,779184	
48,5	-1,09573	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,194796	
48,5	-0,584388	
48,5	-0,852232	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,413941	
48,5	-0,389592	
48,5	-0,46264	
48,5	-0,194796	
48,5	-0,292194	
48,5	-0,267844	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,413941	
48,5	-0,316543	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,0973979	
48,5	-0,0973979	
48,5	0,340893	
48,5	0,438291	
48,5	-0,0243495	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,0973979	
48,5	-0,170446	
48,5	-0,0973979	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,0973979	
48,5	-0,0973979	
48,5	-0,121747	
48,5	0,876581	
48,5	0,973979	
48,5	0,657436	
48,5	0,48699	
48,5	0,535689	
48,5	0,560038	
48,5	0,584388	
48,5	0,657436	
48,5	0,219145	
48,5	-0,121747	
48,5	-0,0243495	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,94963	
48,5	-0,706135	
48,5	-0,998329	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	0,219145	
48,5	0,511339	
48,5	0,267844	
48,5	0,0973979	
48,5	0,048699	
48,5	-0,170446	
48,5	-0,194796	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,121747	
48,5	-0,0973979	
48,5	0,0243495	
48,5	0,219145	
48,5	0,267844	
48,5	0,194796	
48,5	0,194796	
48,5	0,048699	
48,5	0,0243495	
48,5	0,0243495	
48,5	0,0973979	
48,5	0,0730485	
48,5	0,121747	
48,5	0,121747	
48,5	0,194796	
48,5	0,219145	
48,5	0,754834	
48,5	0,535689	
48,5	0,681786	
48,5	0,779184	
48,5	0,730485	
48,5	0,681786	
48,5	0,706135	
48,5	0,657436	
48,5	0,608737	
48,5	0,657436	
48,5	0,316543	
48,5	0,316543	
48,5	0,389592	
48,5	0,365242	
48,5	0,316543	
48,5	0,243495	
48,5	0,243495	
48,5	0,292194	
48,5	0,316543	
48,5	0,243495	
48,5	0,389592	
48,5	0,94963	
48,5	0,827883	
48,5	0,973979	
48,5	0,438291	
48,5	0,511339	
48,5	0,633087	
48,5	0,340893	
48,5	0,365242	
48,5	0,219145	
48,5	0,170446	
48,5	0,0730485	
48,5	0,0730485	
48,5	-0,121747	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,170446	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,121747	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,146097	
48,5	-0,170446	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,194796	
48,5	-0,170446	
48,5	-0,121747	
48,5	0	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,5	-0,0730485	
48,5	-0,0730485	
48,5	-0,048699	
48,564	-0,048699	
48,6739	0,121747	
48,7682	0,0973979	
48,8789	1,02268	
49,0056	1,63142	
49,1329	1,24182	
49,2266	2,4106	
49,3689	2,99499	
49,4971	3,60372	
49,6391	4,16376	
49,766	4,5777	
49,8929	4,8699	
50,0195	5,04034	
50,1461	5,16209	
50,2404	5,23514	
50,3694	5,33254	
50,4612	5,40559	
50,6055	5,52733	
50,7008	5,69778	
50,8258	5,81953	
50,9527	5,84388	
51,0478	5,94127	
51,1318	6,01432	
51,258	6,01432	
51,3464	6,03867	
51,4144	6,11172	
51,5202	6,13607	
51,6133	6,18477	
51,7242	6,18477	
51,8086	6,20912	
51,9268	6,23347	
52,0064	6,33087	
52,1474	6,35522	
