Displacement - Plot 0	Force - Plot 0	
48,4999	0,973979	
48,4999	1,46097	
48,4999	1,38792	
48,4999	0,340893	
48,4999	0,803533	
48,4999	0,243495	
48,4999	1,36357	
48,4999	3,53068	
48,4999	2,87324	
48,4999	3,53068	
48,4999	3,74982	
48,4999	4,06636	
48,4999	3,87157	
48,4999	3,89592	
48,4999	3,87157	
48,4999	4,04201	
48,4999	2,92194	
48,4999	2,67844	
48,4999	2,67844	
48,4999	2,65409	
48,4999	2,70279	
48,4999	2,92194	
48,4999	2,3619	
48,4999	2,82454	
48,4999	3,18978	
48,4999	2,60539	
48,4999	2,89759	
48,4999	4,28551	
48,4999	3,84722	
48,4999	2,94629	
48,4999	6,74481	
48,4999	7,71879	
48,4999	10,8599	
48,4999	9,52065	
48,4999	7,86488	
48,4999	4,30986	
48,4999	6,03867	
48,4999	7,79184	
48,4999	8,54667	
48,4999	10,8112	
48,4999	11,6634	
48,4999	11,4686	
48,4999	11,7608	
48,4999	11,6634	
48,4999	11,2982	
48,4999	11,7852	
48,4999	12,6374	
48,4999	12,8809	
48,4999	4,18811	
48,4999	5,67343	
48,4999	9,47195	
48,4999	9,78849	
48,4999	8,96061	
48,4999	7,59704	
48,4999	7,42659	
48,4999	8,81451	
48,4999	8,35187	
48,4999	8,01098	
48,4999	8,40057	
48,4999	5,23514	
48,4999	7,67009	
48,4999	10,3485	
48,4999	11,6878	
48,4999	11,8825	
48,4999	10,6407	
48,4999	9,05801	
48,4999	8,66842	
48,4999	8,81451	
48,4999	8,42492	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,57102	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,54667	
48,4999	8,47362	
48,4999	8,27883	
48,4999	8,57102	
48,4999	7,2318	
48,4999	5,16209	
48,4999	6,33087	
48,4999	7,45094	
48,4999	6,72046	
48,4999	7,20745	
48,4999	7,3292	
48,4999	7,57269	
48,4999	7,76749	
48,4999	8,59537	
48,4999	8,57102	
48,4999	8,54667	
48,4999	8,49797	
48,4999	8,57102	
48,4999	8,57102	
48,4999	8,54667	
48,4999	8,44927	
48,4999	8,23013	
48,4999	7,71879	
48,4999	8,42492	
48,4999	8,40057	
48,4999	8,40057	
48,4999	8,40057	
48,4999	8,40057	
48,4999	8,64407	
48,4999	10,6407	
48,4999	10,0563	
48,4999	9,32585	
48,4999	1,72881	
48,4999	2,38625	
48,4999	3,18978	
48,4999	4,28551	
48,4999	6,9396	
48,4999	8,18143	
48,4999	6,91525	
48,4999	4,79685	
48,4999	4,55335	
48,4999	4,65075	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,69945	
48,4999	4,60205	
48,4999	4,55335	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,4999	4,6751	
48,5788	4,7725	
48,6743	7,037	
48,7685	7,76749	
48,864	9,08236	
48,9482	8,86321	
49,0345	7,1831	
49,146	9,27715	
49,2568	11,4199	
49,3667	13,2705	
49,4928	14,8045	
49,6202	16,4603	
49,7639	17,8725	
49,9079	17,8238	
49,9997	18,8952	
50,1442	19,65	
50,2697	20,5997	
50,3958	21,3788	
50,5237	22,4989	
50,6501	23,3512	
50,7764	23,7651	
50,8712	24,2277	
51,0143	24,7634	
51,1079	25,4939	
51,224	25,8348	
51,3134	17,2638	
51,4085	18,53	
51,5036	18,4569	
51,5982	18,3352	
51,7084	18,2378	
51,8191	18,2134	
51,9134	24,5443	
52,0093	23,8625	
52,1018	16,1924	
52,1802	17,6047	
52,2764	17,7021	
52,3702	18,4569	
52,4657	24,2034	
52,5587	18,1891	
52,6537	18,0186	
52,747	19,6013	
52,8432	20,9649	
52,937	22,1337	
53,0318	23,2781	
53,1266	23,6677	
53,2093	23,546	
53,2877	23,3025	
53,3762	23,8868	
53,4695	23,8381	
53,5633	24,2277	
53,6574	24,9582	
53,7431	25,6887	
53,8287	26,4192	
53,9722	27,1253	
54,0974	27,5636	
54,209	27,6367	
54,3029	27,7097	
54,3964	27,7097	
54,4909	27,7341	
54,5872	27,8558	
54,6816	27,9045	
54,7758	27,9776	
54,8704	28,0019	
54,9966	28,075	
55,0908	28,0263	
55,1846	28,0263	
55,2801	28,0263	
55,3742	28,0506	
55,4698	28,0506	
55,5645	28,0506	
55,6736	28,075	
55,768	28,0506	
55,8545	28,1237	
55,9367	28,148	
56,0302	28,1724	
56,1251	28,1237	
56,2202	28,1237	
56,3151	28,148	
56,3939	28,1237	
56,4889	28,1237	
56,584	28,148	
56,6756	28,1724	
56,7713	28,2211	
56,8667	28,2698	
56,9592	28,2941	
57,0543	28,3672	
57,1661	28,3185	
57,2754	28,3428	
57,3857	28,2941	
57,4813	28,2941	
57,5747	28,3428	
57,6597	28,4158	
57,7475	28,4158	
57,8411	28,3428	
57,9213	28,4889	
58,0152	28,5376	
58,1084	28,4402	
58,2037	28,4645	
58,2996	28,4645	
58,3945	28,4889	
58,4889	28,5619	
58,5987	28,6106	
58,7093	28,5619	
58,8034	28,5863	
58,8979	28,5863	
58,9921	28,6593	
59,087	28,6593	
59,1977	28,6593	
59,292	28,6593	
59,3771	28,5863	
59,4458	28,5619	
59,5392	28,635	
59,6339	28,6593	
59,7277	28,6837	
59,8235	28,6837	
59,9184	28,7324	
59,9989	28,7324	
59,9999	28,635	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,5132	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4889	
59,9999	28,4645	
59,9999	28,4645	
59,9999	28,4889	
