Displacement - Plot 0	Force - Plot 0	
48,5001	-0,706135	
48,5001	-0,681786	
48,5001	-0,681786	
48,5001	-0,657436	
48,5001	-0,681786	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,633087	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,633087	
48,5001	-0,633087	
48,5001	-0,657436	
48,5001	-0,633087	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,633087	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,657436	
48,5001	-0,633087	
48,5001	-0,633087	
48,5001	-0,633087	
48,5001	-0,633087	
48,5001	-0,633087	
48,5001	-0,633087	
48,5001	-0,633087	
48,5816	-0,608737	
48,7201	0,438291	
48,8482	0,511339	
48,9737	0,657436	
49,101	1,02268	
49,2278	1,16878	
49,3702	1,55837	
49,4964	2,4106	
49,624	3,53068	
49,7514	1,38792	
49,8454	3,53068	
49,9403	4,79685	
50,0822	5,96562	
50,2086	6,08737	
50,335	5,74648	
50,4299	6,33087	
50,5565	6,79351	
50,6994	8,37622	
50,8271	9,95894	
50,9682	11,2738	
51,0955	12,8809	
51,2221	15,4132	
51,3495	17,3368	
51,4763	18,6517	
51,6188	19,1387	
51,7452	18,7491	
51,8242	18,8709	
51,9343	18,4326	
52,029	18,3352	
52,1236	18,3595	
52,2084	18,2621	
52,2829	18,043	
52,3722	18,2134	
52,4642	17,9699	
52,5751	17,9212	
52,654	17,9212	
52,748	17,9212	
52,8444	17,8969	
52,9376	17,8969	
53,0325	17,7508	
53,143	17,7021	
53,2371	17,7508	
53,3312	17,629	
53,4254	17,629	
53,5047	17,556	
53,5989	17,7021	
53,6934	17,7508	
53,7775	17,6047	
53,8658	17,5316	
53,9609	17,4342	
54,056	17,3612	
54,1653	17,3612	
54,2613	17,4099	
54,3713	17,3612	
54,4659	17,2881	
54,5453	17,2638	
54,6542	17,1907	
54,7491	17,0933	
54,8436	17,0446	
54,9228	16,9472	
55,0167	16,9229	
55,1101	16,8742	
55,2068	16,8255	
55,3017	16,8255	
55,3789	16,8011	
55,4737	16,7037	
55,5679	16,6794	
55,6627	16,6794	
55,7566	16,655	
55,8524	16,6063	
55,9466	16,6063	
56,0401	16,582	
56,1248	16,6063	
56,2136	16,6063	
56,3078	16,6307	
56,403	16,655	
56,4977	16,582	
56,5911	16,509	
56,6865	16,5333	
56,7801	16,4603	
56,8752	16,3872	
56,9685	16,4116	
57,0643	16,3872	
57,1584	16,4359	
57,2535	16,4116	
57,3483	16,4359	
57,4437	16,4603	
57,5378	16,4603	
57,6472	16,4359	
57,7426	16,3385	
57,8369	16,3872	
57,9317	16,3872	
58,0267	16,4359	
58,1365	16,3629	
58,2303	16,2898	
58,3246	16,3385	
58,4081	16,2898	
58,4816	16,1924	
58,5654	16,2411	
58,654	16,1681	
58,7474	16,1437	
58,8266	16,1437	
58,9215	16,1924	
58,9991	16,1924	
59,0939	16,2898	
59,1881	16,2898	
59,2841	16,1437	
59,378	16,095	
59,4887	16,1681	
59,5835	16,1924	
59,6933	16,1681	
59,7879	16,095	
59,8835	16,095	
59,979	16,0463	
60,0726	15,9976	
60,1825	15,9733	
60,2771	15,9489	
60,3722	15,9246	
60,47	15,9002	
60,5636	15,8759	
60,655	15,8515	
60,7454	15,8272	
60,8303	15,8028	
60,925	15,7785	
61,0175	15,8028	
61,1113	15,8028	
61,2063	15,7785	
61,3025	15,8028	
61,3801	15,8028	
61,4766	15,8028	
61,5708	15,8272	
61,6787	15,8028	
61,7747	15,7541	
61,8423	15,8028	
61,9294	15,7785	
62,0258	15,8515	
62,1185	15,8272	
62,2167	15,8272	
62,309	15,8028	
62,3853	15,8272	
62,4808	15,8028	
62,5748	15,8028	
62,669	15,8028	
62,7479	15,8515	
62,8432	15,8272	
62,9206	15,8028	
63,0158	15,8272	
63,1258	15,7785	
63,2196	15,7785	
63,3148	15,7785	
63,4089	15,8028	
63,5031	15,8028	
63,5973	15,8028	
63,6767	15,8028	
63,771	15,8272	
63,8652	15,8272	
63,9606	15,8759	
64,0543	15,8272	
64,1483	15,8028	
64,2441	15,7541	
64,3225	15,7785	
64,4172	15,8028	
64,5142	15,8028	
64,5907	15,8028	
64,6853	15,7785	
64,7637	15,7541	
64,8602	15,7785	
64,9356	15,7298	
