Displacement - Plot 0	Force - Plot 0	
-0,000132	-0,0730485	
-0,000132	-0,0973979	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0973979	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,048699	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	-0,0730485	
-0,000132	0	
-0,000132	0,0243495	
-0,000132	0	
-0,000132	0,0243495	
-0,000132	0,0243495	
-0,000132	0	
-0,000132	0	
-0,000132	0	
-0,000132	0,0243495	
-0,000132	0	
-0,000132	0	
-0,000132	0,0243495	
-0,000132	0,0243495	
-0,000132	0,0243495	
0,078854	0,0730485	
0,221359	1,36357	
0,363979	3,82287	
0,490835	5,98997	
0,61863	7,64574	
0,76036	9,08236	
0,877563	10,3972	
0,995902	11,2982	
1,12093	12,1504	
1,23817	12,9783	
1,35799	13,6601	
1,48484	14,3175	
1,62704	14,8775	
1,75458	15,3158	
1,88096	15,8272	
2,02333	16,1924	
2,15082	16,582	
2,29225	16,9229	
2,38795	17,2638	
2,53077	17,4829	
2,62541	17,7508	
2,74139	17,9943	
2,80213	18,1404	
2,9207	18,2621	
3,01513	18,4082	
3,12493	18,5543	
3,26743	18,6761	
3,36299	18,9196	
3,44726	19,0656	
3,56759	19,163	
3,66114	19,3578	
3,76169	19,4309	
3,84845	19,5283	
3,94296	19,65	
4,03835	19,7474	
4,14763	19,8448	
4,24225	19,9666	
4,33682	20,0883	
4,46366	20,1614	
4,55882	20,3075	
4,6526	20,3805	
4,74712	20,3805	
4,84262	20,4779	
4,93642	20,551	
5,03143	20,624	
5,14149	20,6727	
5,23559	20,7701	
5,33054	20,8919	
5,4251	20,9406	
5,51943	21,0623	
5,66163	21,0867	
5,75722	21,1354	
5,85235	21,2328	
5,9469	21,3058	
6,04182	21,3545	
6,13471	21,4519	
6,22964	21,5006	
6,30762	21,5493	
6,40204	21,5736	
6,49755	21,6467	
6,59126	21,6954	
6,68634	21,7928	
6,78107	21,7441	
6,87433	21,8415	
6,97107	21,8171	
7,0648	21,8902	
7,15789	21,8902	
7,25219	21,9389	
7,34747	21,9876	
7,45808	22,0606	
7,60011	22,085	
7,69542	22,1337	
7,78945	22,2067	
7,88443	22,2554	
7,97877	22,2798	
8,07327	22,2798	
8,1835	22,3528	
8,27843	22,4259	
8,37221	22,4746	
8,4685	22,4989	
8,54791	22,5476	
8,64011	22,572	
8,71807	22,572	
8,8145	22,6207	
8,90787	22,6207	
9,01834	22,6694	
9,12844	22,7424	
9,22367	22,7424	
9,31839	22,7668	
9,41241	22,8642	
9,50631	22,8398	
9,60081	23,0103	
9,72836	23,0833	
9,82263	23,0833	
