Displacement - Plot 0	Force - Plot 0	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	-0,0730485	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
-3,3E-5	0	
0,063947	0,0243495	
0,206633	0,170446	
0,350488	0,48699	
0,491494	1,16878	
0,609158	3,04369	
0,717449	4,38291	
0,836941	5,47863	
0,963517	6,42826	
1,09029	7,20745	
1,21746	7,84053	
1,34418	8,32752	
1,4706	8,71712	
1,59793	9,03366	
1,7405	9,3015	
1,8681	9,56935	
1,98426	9,76414	
2,07244	9,93459	
2,18419	10,0807	
2,315	10,1781	
2,41818	10,3485	
2,53015	10,4459	
2,6237	10,5677	
2,75042	10,6407	
2,84504	10,7381	
2,95565	10,8112	
3,03996	10,8842	
3,14316	10,9573	
3,23821	11,006	
3,36312	11,0547	
3,44316	11,1034	
3,55267	11,1521	
3,64862	11,2008	
3,7423	11,2495	
3,81992	11,2982	
3,93152	11,3469	
4,0159	11,3712	
4,11867	11,3956	
4,21301	11,4686	
4,29657	11,5173	
4,44804	11,5173	
4,54256	11,566	
4,6267	11,6147	
4,71493	11,6391	
4,80927	11,6391	
4,90365	11,6878	
4,99827	11,7121	
5,09433	11,7365	
5,18761	11,7365	
5,26806	11,7852	
5,37726	11,8095	
5,47161	11,8339	
5,56521	11,8582	
5,65988	11,9069	
5,75531	11,9069	
5,8647	11,9312	
5,94921	11,9799	
6,02055	11,9799	
6,11558	11,9799	
6,21026	12,0286	
6,33658	12,0286	
6,43164	12,053	
6,5257	12,053	
6,62089	12,1017	
6,68855	12,126	
6,77694	12,126	
6,8734	12,126	
6,93939	12,1504	
7,01199	12,1747	
7,12262	12,1991	
7,21678	12,1991	
7,3113	12,2234	
7,38924	12,2234	
7,48454	12,2478	
7,57871	12,2721	
7,68959	12,2721	
7,7837	12,2965	
7,87818	12,2965	
7,97257	12,2965	
8,0674	12,2965	
8,16179	12,3452	
8,25618	12,3939	
8,35045	12,3939	
8,4459	12,4182	
8,5234	12,4182	
8,60777	12,4426	
8,68528	12,4426	
8,75937	12,4182	
8,85368	12,4182	
8,94765	12,4913	
9,03186	12,4913	
9,11755	12,54	
9,25989	12,4913	
9,35504	12,5156	
9,44995	12,5156	
9,54357	12,54	
9,63917	12,5643	
9,73327	12,54	
9,81843	12,5887	
9,87668	12,5643	
9,96365	12,54	
10,0449	12,54	
10,1371	12,5643	
10,2322	12,6374	
10,3256	12,6374	
10,4211	12,613	
10,5162	12,613	
10,6092	12,5887	
10,7045	12,613	
10,7989	12,613	
10,8929	12,613	
10,9881	12,6374	
11,0828	12,6861	
11,1935	12,6861	
11,287	12,7104	
11,3816	12,6861	
11,4762	12,6861	
11,5712	12,6861	
11,682	12,7591	
11,7768	12,7348	
11,8879	12,7591	
11,9654	12,7591	
12,0606	12,7591	
12,1708	12,7835	
12,2648	12,7835	
12,3601	12,7835	
12,4537	12,7835	
12,5486	12,7835	
12,6429	12,8078	
12,7376	12,8565	
12,8329	12,8322	
12,926	12,8078	
13,022	12,8078	
13,1317	12,8078	
13,2268	12,8322	
13,3201	12,8565	
13,4149	12,8565	
13,5257	12,9052	
13,6364	12,9296	
13,7215	12,9052	
13,7902	12,9052	
13,8866	12,9296	
13,9532	12,9539	
14,0405	12,9296	
14,1505	12,8809	
14,245	12,9052	
14,339	12,9296	
14,4334	12,9539	
14,5284	12,9539	
14,6229	12,9539	
14,718	12,9296	
14,8125	12,9783	
14,9068	13,027	
15,0331	13,1	
15,1287	13,027	
15,206	12,9296	
15,3011	13,0026	
15,3961	13,0026	
15,4892	13,027	
15,6005	13,027	
15,6965	13,0026	
15,7729	13,0026	
15,8686	12,9783	
15,9632	13,027	
16,0578	13,0757	
16,1675	13,0757	
16,2628	13,1	
16,3554	13,1	
16,4247	13,0757	
16,5133	13,1	
16,6078	13,1244	
16,7032	13,1	
16,7979	13,0026	
