Displacement - Plot 0	Force - Plot 0	
0,000132	0	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0	
0,000132	0	
0,000132	0	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0,0243495	
0,000132	0	
0,07892	0,0730485	
0,205364	0,389592	
0,348001	0,389592	
0,442191	0,46264	
0,570645	0,46264	
0,679364	1,68011	
0,82289	4,21246	
0,949038	7,57269	
1,07611	9,545	
1,21888	11,493	
1,36138	12,7348	
1,48825	13,6601	
1,61526	14,2931	
1,74193	14,7558	
1,86874	15,1941	
1,99503	15,4619	
2,08957	15,6567	
2,23354	15,9246	
2,32717	15,9246	
2,42143	16,022	
2,54973	16,1437	
2,6431	16,3385	
2,73727	16,509	
2,86357	16,6307	
2,95868	16,7768	
3,05357	16,8742	
3,13776	16,9229	
3,22317	16,9716	
3,33452	17,0203	
3,47643	16,9959	
3,5716	16,8742	
3,66643	16,8742	
3,76041	17,0203	
3,86074	17,1177	
3,949	17,142	
4,02795	17,1907	
4,12285	17,2881	
4,21577	17,3855	
4,32655	17,4586	
4,42204	17,5316	
4,56414	17,5803	
4,67492	17,4586	
4,77005	17,4586	
4,88008	17,4586	
4,97434	17,4829	
5,06884	17,4829	
5,16391	17,5073	
5,25801	17,5073	
5,36879	17,5316	
5,46348	17,5803	
5,54676	17,6047	
5,63455	17,6534	
5,72888	17,629	
5,80739	17,6534	
5,8864	17,6047	
5,9806	17,629	
6,07615	17,6534	
6,16928	17,7508	
6,26395	17,8725	
6,35822	17,8482	
6,45444	17,8725	
6,54716	17,8725	
6,64154	17,8969	
6,73683	17,8969	
6,8314	17,8482	
6,92625	17,8969	
7,02041	17,9456	
7,13079	18,0186	
7,25695	18,0186	
7,35144	18,1404	
7,44685	18,0673	
7,54135	18,116	
7,62503	18,1647	
7,71217	17,9699	
7,78065	17,9943	
7,86735	17,9699	
7,9614	18,0186	
8,05622	17,9943	
8,16673	18,0917	
8,26177	18,0673	
8,35589	18,1404	
8,45092	18,1647	
8,54607	18,2378	
8,61318	18,1891	
8,68355	18,2621	
